filename,title,additional_tags,custom_tags
60318415_but_i_love_you_just_the_same.html,But I Love You Just the Same,Alternate Universe - Rock Band | Second Chances | Happy Ending | Alternate Universe - No Powers | I don't know anything about bands | Not Beta Read | no one asked for this | but i made it anyways | Lilia is just really good at predicting things and I think thats funny | Eventual Fluff | Angst with a Happy Ending | Angst,AU - Celebrity / Rock Band|AU - No Powers / Non-Magical|Angst|Fluff
60328030_the_art_of_keeping_a_secret.html,The Art of Keeping a Secret,Alternate Universe - Detectives | Age Difference | Slow Burn | Co-workers | Sexual Tension | Lesbian Agatha Harkness | Lesbian Rio Vidal | Detective Agatha Harkness | Agatha Harkness Needs a Hug | Rio Vidal Being a Little Shit | Jealous Rio Vidal | Jealous Agatha Harkness | Idiots in Love | Heavily inspired by free agents - can you tell? | Fluff | Angst and Hurt/Comfort | Top Agatha Harkness | Bottom Rio Vidal | Rio Vidal is a Brat | Smut,AU - Medical / Detective|Age Gap|Angst|Fluff|Jealousy|Slow Burn|Smut
60369481_and_fill_my_blank_page.html,And Fill My Blank Page,Age Difference | Alternate Universe - Non-Magical,AU - No Powers / Non-Magical|Age Gap
60392944_unmoored_by_your_presence.html,Unmoored by your Presence,Alternate Universe - No Powers | Teacher-Student Relationship | Age Difference | but they're both of age | Professor Agatha Harkness | Soft Agatha Harkness | Soft Rio Vidal | Rio writes poetry | Poetry | Rio is down so bad | but it takes her a while to realize it | Fluff | Fluff and Angst | But Only a Little Bit - Freeform | Idiots in Love | Domestic Fluff | Slow Burn | Enemies to Lovers | If You Squint - Freeform | Panic Attacks,AU - No Powers / Non-Magical|Age Gap|Enemies to Lovers|Fluff|Slow Burn
60415315_im_leaving_here_with_you.html,I'm Leaving Here With You,Exes to Lovers | Strap-Ons | Cunnilingus | Nose Riding | these witches be switches | Top Agatha Harkness | Bottom Agatha Harkness | Top Rio Vidal | Bottom Rio Vidal | Halloween | Alternate Universe - No Powers,AU - No Powers / Non-Magical|Smut
60415588_broken_deal.html,Broken Deal,Fluff | Fluff and Smut | Happy Ending | Post-Break Up | Lesbian Sex | Lesbian Character | Useless Lesbians | Getting Back Together | Bottom Rio Vidal | Top Agatha Harkness | Love | Idiots in Love | True Love | Witches | Established Relationship | Past Relationship(s),Established Relationship|Fluff|Pining|Smut
60416161_she_gets_the_job_done.html,She Gets the Job Done,Alternate Universe,AU - General
60417100_the_scientific_method_of_falling_apart.html,The Scientific Method of Falling Apart,Alternate Universe - No Powers | Alternate Universe - College/University | PhD students | Neuroscientist AU | POV: theyre all neuroscience nerds | but most of all rio | Slow Burn | Alternate Universe - Modern Setting | scientist agatha | lots of flirting | lots of teasing | just fucking kiss already | like very slow burn | scientist rio | lab AU | No Smut | slight angst | just a little bit!!,AU - College / High School|AU - Modern Setting|AU - No Powers / Non-Magical|Angst|Pining|Slow Burn
60437284_hopeless_breathless.html,hopeless (breathless) burning slow,ALL FICS CURRENTLY LOCKED TO AVOID AI SCRAPING | Alternate Universe - Canon Divergence | Episode: s01e01 Seekest Thou the Road (Agatha All Along) | Technical kidnapping | Rio Vidal Loves Agatha Harkness | Soft Rio Vidal | Sick Agatha Harkness | Hurt Agatha Harkness | Healing | Processing Grief | Grief/Mourning | References to Depression | Complicated Relationships | Agatha Harkness and Rio Vidal are Nicholas Scratch's Parents | past child loss | Implied/Referenced Past Child Abuse | Hurt/Comfort | Seizures | Bathing/Washing | Hair Washing | Emotional Hurt/Comfort | Arguing | Eventual Smut | Eventual Happy Ending | Injury Recovery | Dark Spell Recovery | Post-Curse Recovery Fic | Heavy Angst | Discussion of stillbirth | magical lore | Not Wanda Maximoff Friendly,AU - Canon Divergence|Angst|Fluff|Grief / Recovery|Hurt/Comfort|Smut
60439222_ill_follow_you_down_til_the_sound_of_my_voice.html,I'll follow you down til' the sound of my voice will haunt you,Angst | Smut | Alpha/Beta/Omega Dynamics | Omega Agatha Harkness | Alpha Rio Vidal | Parenthood | Canon-Typical Violence | Murder | Detectives | Assassins & Hitmen | Serial Killers | Family Fluff | Domestic Fluff | Jealous Rio Vidal | these witches be switches | Attempt at Humor,Angst|Comedy|Fluff|Jealousy|Smut
60444544_giving_my_heart_over_to_you.html,Giving My Heart Over to You,Fluff | Established Relationship | Declarations Of Love,Established Relationship|Fluff
60465982_not_over_dramatic_i_know_what_i_want.html,"Not Over Dramatic, I Know What I Want.",Freeform | Canon Divergence | Rare Pairings | Consensual Workplace Relationship | Mild Smut | Bisexual Disaster April Ludgate | Age Difference - Legal | the pearl necklace stays ON,AU - Canon Divergence|Age Gap|Smut
60466387_in_the_deep_end.html,In The Deep End,Alternate Universe - Modern Setting | Alternate Universe - No Powers | Age Difference | Divorcee Agatha | Pool Girl Rio | Masturbation | Eventual Smut | Oral Sex | Shower Sex | Light Angst | Pool Sex | Strap-Ons | Minor Agatha Harkness/Wanda Maximoff,AU - Modern Setting|AU - No Powers / Non-Magical|Age Gap|Angst|Past / Minor Wagatha|Smut
60468748_fold_your_wings.html,Fold Your Wings,Heartbreak | Adoption | lesbian angst | agathario | this one will probably hurt | herein lies a lot of angst | this is staring to hurt more the further i go sorry,Angst
60469915_here_with_you_now.html,Here With You Now,Lesbian Romance | long distance lovers | wholesome central | the softest agathario | they deserved a chance to be happy in love | toxic in the way they just love bomb each other | no gaslighting required | the cutest codependency issues | Alternate Universe | Alternate Universe - Modern Setting | Alternate Universe - Soulmates | Smut | Fluff | shameless fluff | Slice of Life | Found Family,AU - General|AU - Modern Setting|AU - Soulmates|Fluff|Smut
60521194_a_witch_in_salem.html,A Witch in Salem,Prequel | Backstory,Historical / Salem Era
60532861_she_drives_me_crazy.html,She Drives Me Crazy,Alternate Universe - No Powers | annoyance to lovers | Alternate Universe - Teachers | bratty bottom rio supremacy | Getting Together | agatha can't stop using rio's full name,AU - No Powers / Non-Magical|AU - Teachers / Professors
60538387_disdainfully_hers.html,Disdainfully Hers,I'm Bad At Tagging | PTA president agatha | principal rio | Hate Sex | Enemies to Lovers | There Was Only One Bed,Enemies to Lovers|Only One Bed|Smut
60550129_beneath_the_stars.html,beneath the stars,Hollywood AU | they're actresses | they're giving evelyncelia | but modern | Alternate Universe | Alternate Universe - Modern Setting | Slow Burn | Unresolved Sexual Tension | Pining | rio experiences a severe case of gay panic syndrome | Lesbian Agatha Harkness | Lesbian Rio Vidal | I suck at tagging,AU - General|AU - Modern Setting|Pining|Slow Burn|Smut
60563395_the_way_i_feel_about_you_baby_cant_explain_it.html,The Way I Feel About You Baby Can’t Explain It,Boss/Employee Relationship | Wall to wall ill advised lesbian sex | flavors of ‘bottoms’ on the back of the tongue for those with eyes to see,Smut
60596422_sugar_and_honey.html,Sugar and Honey,Alternate Universe - Modern Setting | Alternate Universe - Sugar Daddy | Accidental Sugar Baby Rio Vidal | CEO Agatha Harkness | Eventual Smut | Age Difference | Slow Burn | Eventual Romance | Tropes,AU - Modern Setting|Age Gap|Slow Burn|Smut
60612217_the_peculiar_patient.html,the peculiar patient,Coming Out | Lesbian Character | Strangers to Lovers | Gay Panic | Self-Discovery | Age Difference | Sex | Slow Burn | Internalized Homophobia,Age Gap|Homophobia|Pining|Slow Burn|Strangers to Lovers
60617758_life_after_love_can_we_find_it_again.html,Life after love (Can we find it again?),Alternate Universe - Canon Divergence | Age Difference | Past Relationship(s) | Eventual Smut | Maybe - Freeform | no beta we die like Jerry Larry and Terry | Fluff | angst if you squint real hard,AU - Canon Divergence|Age Gap|Fluff|Smut
60631114_candlelight_whispers_me_where_to_go.html,Candlelight Whispers Me Where to Go,Fluff and Angst | Alternate Universe - No Powers | Alternate Universe | Alternate Universe - Non-Magical | Age Difference,AU - General|AU - No Powers / Non-Magical|Age Gap|Fluff
60667915_you_look_so_pretty_when_youre_on_your_knees.html,you look so pretty when you're on your knees,Smut | Possessive Sex | Jealousy | Cunnilingus | Vaginal Fingering | Vibrators | Lesbian Sex | Masturbation | Praise Kink | Oral Sex | Vaginal Sex | Rope Bondage | Alternate Universe | Plot What Plot/Porn Without Plot | Porn | Rio is a brat | Brief mention of Abby from Happiest Season,AU - General|BDSM / Kink|Jealousy|Smut
60682354_close_to_you.html,Close to You,agathario writers we must band together and write more jen/april fanfic lol | Angst | damn these bitches are gay! | jen's heart is black and only beats for april frrrrr | not beta read we die like mrs hart | rip queen | jealously jealously !!!!,Angst|Jealousy
60700522_purple_and_green.html,Purple and Green,Smut | Fluff and Angst | Fluff and Smut | Alternate Universe | Alternate Universe - College/University | First Kiss | First Time | Lesbian Sex | Bisexuality | Internalized Homophobia | rio is chaotic | Agatha Harkness Needs a Hug | Vaginal Sex | Vaginal Fingering | Praise Kink | Soulmates | Music | agatha sings | rio is a drummer | Song Lyrics,AU - College / High School|AU - General|BDSM / Kink|Fluff|Homophobia|Smut
60723781_its_never_quite_as_it_seems_hiyouve_got_mail.html,It's Never Quite As It Seems (Hi—You'Ve Got Mail),Alternate Universe | Alternate Universe - You've Got Mail Fusion | Bookstores | New York City | Soft Rio Vidal | Slow Burn | just wholesome romcom vibes yay we have suffered enough | girlboss | slay | enemies to lovers if you squint | CEO Agatha Harkness | rating says explicit but it’s like 2 sentences,AU - General|Enemies to Lovers|Fluff|Slow Burn|Smut
60736594_red_in_claw_red_in_love.html,"Red in Claw, Red in Love",Alternate Universe - Non-Magical | Alternate Universe - No Powers | Age Difference | Fluff and Angst | Jealousy,AU - No Powers / Non-Magical|Age Gap|Fluff|Jealousy
60738175_youd_have_to_stop_the_world.html,You'd have to stop the world,Weddings | First Time | Friends to Lovers | Internalized Homophobia | Useless Lesbians | Gay Panic | Alternate Universe - Modern Setting | Idiots in Love | Comedy | Light Angst | Explicit Sexual Content,AU - Modern Setting|Angst|Comedy|Friends to Lovers|Homophobia|Pining|Smut
60738349_theres_no_one_else_who_could_the_only_one_is_you.html,"There's No One Else Who Could, the Only One Is You",Rare Pairing | rom com feels | Age Difference - Legal | Consensual Workplace Relationship | Bisexual April Ludgate | Bisexual Jennifer Barkley | bi4bi couple | Canon Divergence | Jealousy | telling people - sort of | Mild Smut | usual pawnee madness | ben and leslie's wedding | they're in love | Sapphics,AU - Canon Divergence|Age Gap|Jealousy|Smut
60739120_for_you_to_be_still.html,For You To Be Still,Blood and Gore | Emotional/Psychological Abuse | both are kind of light but they're there,Angst
60742324_figured_you_out.html,Figured You Out,Alternate Universe - No Powers | professor!agatha | Dominatrix!Rio | this was supposed to be a slowburn but is more of a mediumburn | I assure you that though Agatha starts out married to Ralph | he is barely ever mentioned again | in which Agatha is Down Bad for Rio | and Rio is Down Just As Bad for Agatha | soft idiots falling in love | fluff and smut and nothing else | Face-Sitting | Strap-Ons | Rio might be a dominatrix but she still bottoms for Agatha in every universe | Phone Sex,AU - No Powers / Non-Magical|BDSM / Kink|Fluff|Smut
60768184_someday_we_will_all_be.html,someday we will all be lying on our backs (free at last from income tax),Alternate Universe - No Powers | IRS Agent Rio Vidal | Tax Evader Agatha Harkness | Enemies and Lovers | Sexual Content | yeah thats right this is about taxes and there’s gay sex in it | Some unprofessional behavior if you can believe it or not from these freaks,AU - No Powers / Non-Magical|Smut
60780265_vidal_books.html,Vidal Books,Alternate Universe - Bookstore | they are still witches | Lesbian Agatha Harkness | Lesbian Rio Vidal | Flirting | Wanda Maximoff is Agatha’s bestfriend | bookstore owner Rio | Meet-Cute | accidental borrowing | magical connection | Agatha Harkness Tease | no beta we die like sharon | Tags will be added | Lesbian Sex | Cunnilingus | Oral Sex | lightest of light bdsm | Fighting for Dominance | they really both just wanna fuck | Fingering | Orgasms | Heavy implication of childhood abuse in ch8 | Bad Parent Evanora Harkness | minor character Jen Walter’s | Agatha’s “trial” chapter ch8 | OC | Strap-Ons | magical strap-ons,BDSM / Kink|Pining|Smut
60792286_velvet_ring.html,Velvet Ring,agathario babysitter au | WOW ok this is on the nose | Agatha's hair is a major plot point | slowburn | but rio is down bad from day one | Lesbian Agatha Harkness! | part two will have smut | Smut + drama + fluffff | Alice is Rio's flatmate | rio has tattoos | so does Agatha!! much to rio's delight | rio falls in love so fast | did I mention Agatha's hair | oh yes NAUGHTY pants make an appearance | Ralph is in this but I hate him so much | age gap | sexy! | rio pines so hard | rating change cause my smut scenes always go too far | Hair Pulling | Agatha is left-handed cause why is that so fucking hot | ok new tags | rio cries after sex because ofc she does | rio experiencing the most insane lesbian crash out over agatha | Agatha's episode two braids make an appearance because holy fuck | agent Vidal outfit! | somehow this has become a Christmas fic. | spiked hot chocolate and dry humping what more could anyone want | Agatha's nose is so sexy | Agatha squirting is canon to me | lil bit of rio gender fuckery if you squint | fuck it new chap 2025 | Strap | lots of strap,Age Gap|Smut
60796456_agathario_fake_dating_au.html,Agathario Fake Dating Au,Fake/Pretend Relationship | Fluff | Romance | Alternate Universe - No Powers | Christmas Fluff | Christmas Vacation | Lesbian Agatha Harkness | Lesbian Rio Vidal | Falling In Love | Useless Lesbians | Tooth-Rotting Fluff | Mutual Pining | God there’s so much pining | Denial of Feelings | Implied Sexual Content | Humor | Agatha Harkness Loves Rio Vidal | Rio Vidal Loves Agatha Harkness,AU - No Powers / Non-Magical|Angst|Comedy|Fake Dating / Pretend Relationship|Fluff|Pining|Smut
60810751_within_reach.html,Within Reach,Alternate Universe - Modern: No Powers | Free Agents AU | Friends to Lovers | Fluff | Banter,AU - No Powers / Non-Magical|Fluff|Friends to Lovers
60824317_let_loose_your_longing.html,let loose your longing,Alternate Universe - Modern Setting | Alternate Universe - College/University | Guest Lecturer Agatha Harkness | Hotshot Lawyer Agatha Harkness | Environmental Science Major Rio Vidal | rio’s a student | just not agatha’s | POV Rio Vidal | Age Difference | Romantic Comedy | less a meet-cute more a meet-weird | Slow Burn | The Author Regrets Nothing | Title from a Sappho (fl. 600 BCE) Poem | Other Additional Tags to Be Added | Sex Dreams | Wet Dream | Fingerfucking | Fisting | listen rio’s insanely horny for agatha okay | what do you want me to say,AU - College / High School|AU - Modern Setting|Age Gap|Comedy|Slow Burn|Smut
60858487_the_heart_of_death.html,The Heart of Death,Agatha Harkness/Rio Vidal Backstory | Dead Witches | Explicit Sexual Content | these two are freaks who are obsessed with each other | its honestly embarassing | no beta we die like Agatha | they are in lesbians | thanos is mentioned just a little bit for plot,Historical / Salem Era|Smut
60865297_just_between_us_did_the_love_affair_maim_you_too.html,"Just Between Us, Did the Love Affair Maim You Too",Alternate Universe - Modern: No Powers | Alternate Universe - Nanny | Slow Burn | Rio is pining like a champ | Age Difference | Set in the GORGEOUS New England fall | Agatha is a lawyer | Repressed Sexuality (on Agatha's part) | This is not a Horse Girl AU - there is just a horse girl chapter | Spicy Bits all over | Pining | Explicit Sexual Content | Rio is such a bottom for Agatha | Like this shouldnt be legal lol | Masturbation | Fluff and Angst,AU - No Powers / Non-Magical|Age Gap|Fluff|Pining|Slow Burn|Smut
60901915_naughty_ampamp_nice.html,Naughty &Amp; Nice,Inspired by Hallmark Christmas Movies | Christmas | Doctor Rio Vidal | CEO Agatha Harkness | Fluff and Angst,Fluff
60984145_my_side_of_the_story.html,My Side of the Story,Lesbian Romance | long distance lovers | wholesome central | the softest agathario | they deserved a chance to be happy in love | toxic in the way they just love bomb each other | no gaslighting required | the cutest codependency issues,Fluff
61063744_my_love_mine_all_mine.html,"my love, mine, all mine",Slow Burn | Eventual Romance | Angst and Fluff and Smut | Rio Vidal Loves Agatha Harkness | Sexual Tension | threats of violence (but sexy) | Angry Agatha Harkness | Switch Agatha Harkness/Rio Vidal | rio is down so bad for agatha | Grief/Mourning | Modern AU | POV Rio Vidal | Smut | Knifeplay | vaquero rio vidal | Cowboy Agatha Harkness | gays eat up | handywoman rio vidal | Even Smaller town than westview AU,AU - Modern Setting|Fluff|Grief / Recovery|Slow Burn|Smut
61077781_unsatisfied_i_skip_my_pride.html,"Unsatisfied, I Skip My Pride",Strangers to Friends to Lovers | greeks obssesion with ABBA | Cunnilingus | Nose Riding | Inspired by The White Lotus (TV) | Inspired by: Glass Onion | Lawyer Rio Vidal | greek romance | politician agatha harkness | seriously this woman would ROCK as a politician | Pool Sex | Domestic Bliss | Kind Of | Pining | Scissoring | Office Sex,Fluff|Friends to Lovers|Pining|Smut
61081831_roommates_of_destruction.html,Roommates of Destruction,Fluff and Angst | Fluff and Smut | Fluff and Humor | Angst and Fluff and Smut | Alternate Universe - College/University | Feelings | Humor | Hurt/Comfort | Love | Not Canon Compliant | Fluff | Sexual Content | Sexual Tension | Romance | mcu - Freeform | Relationship(s),AU - College / High School|Angst|Comedy|Fluff|Hurt/Comfort|Smut
